"brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"Volvo",2022,23663,2,1,"Petrol","Four-wheel Drive",18,24,0,0,1,1,0,1,47249
"Kia",2016,84125,2.4,1,"Petrol","Front-wheel Drive",27,37,0,0,0,1,0,0,14995
"Honda",2021,46199,1.5,1,"Petrol","Front-wheel Drive",30,38,0,1,0,1,0,1,27355
"Maserati",2021,1799,3,1,"Petrol","Rear-wheel Drive",16,24,0,1,1,1,0,1,54995
"Kia",2017,24984,2,0,"Petrol","Front-wheel Drive",18,25,0,1,0,1,0,0,16998
"Lexus",2017,100604,3.5,1,"Hybrid","Four-wheel Drive",16,24,0,1,1,1,0,1,28990
"Toyota",2016,89384,5.7,1,"Petrol","Four-wheel Drive",13,17,1,0,1,1,1,1,35991
"Honda",2018,45091,1.5,1,"Petrol","Front-wheel Drive",30,38,0,1,0,1,0,1,28900
"Ford",2019,46873,5,1,"Petrol","Rear-wheel Drive",15,24,0,1,0,1,0,0,37777
"Mitsubishi",2007,89965,2.4,1,"Petrol","Front-wheel Drive",23,29,1,1,0,0,0,0,6995
"Hyundai",2020,28309,2.4,1,"Petrol","Four-wheel Drive",20,26,1,1,1,1,0,1,27949
"Chevrolet",2022,18928,1.3,1,"Petrol","Front-wheel Drive",29,31,0,1,0,1,0,1,28443
"Volkswagen",2002,157039,2.8,1,"Petrol","Front-wheel Drive",24,34,0,0,0,0,1,1,12499
"Ford",2013,141836,1.6,1,"Petrol","Four-wheel Drive",22,30,1,0,0,1,0,0,8400
"Cadillac",2018,34040,3.6,1,"Petrol","Four-wheel Drive",21,29,0,1,1,1,0,1,28991
"MINI",2019,40989,2,1,"Petrol","Front-wheel Drive",27,35,0,1,0,1,0,0,28975
"Hyundai",2021,43300,3.8,1,"Petrol","Front-wheel Drive",29,35,0,0,0,1,1,1,36995
"Jeep",2018,19557,3.6,1,"Petrol","Four-wheel Drive",17,25,0,1,1,1,0,1,34694
"Audi",2019,28429,2,1,"Petrol","Four-wheel Drive",19,25,0,1,1,1,1,1,38714
"Volkswagen",2021,22266,3.6,1,"Petrol","Four-wheel Drive",29,37,0,0,1,1,1,1,44499
"Chevrolet",2011,87803,3.6,1,"Petrol","Rear-wheel Drive",18,29,0,0,0,1,0,1,15925
"Ford",2020,43219,2.7,1,"Petrol","Four-wheel Drive",18,23,0,1,0,1,0,0,36000
"FIAT",2013,88801,1.4,1,"Petrol","Front-wheel Drive",31,40,1,0,0,1,0,0,8999
"Porsche",2012,52248,3.6,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,1,32750
"Porsche",1994,92025,3,1,"Petrol","Rear-wheel Drive",10,16,1,0,0,0,0,0,12960
"Chevrolet",2021,35492,3.6,1,"Petrol","Front-wheel Drive",20,27,0,1,1,1,0,1,37511
"Volkswagen",2018,36286,2,1,"Petrol","Four-wheel Drive",17,23,1,1,1,1,0,1,35000
"Jaguar",2018,83782,2,1,"Petrol","Four-wheel Drive",16,21,0,0,0,1,0,1,23983
"Chevrolet",2021,16795,6.2,0,"Petrol","Rear-wheel Drive",16,24,0,1,0,1,0,0,39046
"Jeep",2022,3343,3.6,1,"Petrol","Four-wheel Drive",13,18,0,1,1,1,0,0,47490
"Mercedes-Benz",2015,57412,1.8,1,"Petrol","Rear-wheel Drive",13,18,0,0,0,1,0,0,24950
"MINI",2020,69573,1.5,1,"Petrol","Front-wheel Drive",21,30,0,1,0,1,0,0,23997
"Jaguar",2015,59723,3,1,"Petrol","Rear-wheel Drive",NA,NA,1,0,1,1,0,0,28498
"Honda",1991,180749,2.1,1,"Unknown","Unknown",0,0,0,1,0,0,0,0,17500
"Kia",2021,27593,2.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,1,1,0,35500
"Honda",2012,111435,3.5,1,"Petrol","Four-wheel Drive",17,24,0,1,0,1,1,0,14900
"Kia",2018,92218,2,1,"Petrol","Front-wheel Drive",27,31,0,0,0,1,0,0,12950
"Alfa",2020,43513,2,1,"Petrol","Four-wheel Drive",22,28,1,1,1,1,0,0,33697
"BMW",2010,109500,3,0,"Petrol","Rear-wheel Drive",NA,NA,1,0,0,0,0,0,9800
"Alfa",2022,4188,2,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,0,49690
"Cadillac",2018,57974,2,1,"Petrol","Rear-wheel Drive",14,19,0,1,1,1,0,1,22599
"Volkswagen",2021,9880,3.6,1,"Petrol","Four-wheel Drive",16,22,0,1,1,1,1,1,44589
"Alfa",2021,29262,2,1,"Pertol","Four-wheel Drive",22,28,0,1,1,1,0,0,33820
"Jaguar",2019,28663,2,1,"Pertol","Four-wheel Drive",15,22,0,0,1,1,0,0,35998
"Audi",2003,94792,1.8,0,"Petrol","Front-wheel Drive",23,30,0,0,0,0,0,1,8999
"Audi",2016,79717,4,1,"Petrol","Four-wheel Drive",18,27,1,0,1,1,0,1,29590
"Audi",2020,73922,3,1,"Petrol","Four-wheel Drive",17,21,0,0,1,1,1,1,32995
"FIAT",2013,45755,1.4,0,"Petrol","Front-wheel Drive",31,40,0,0,0,1,0,0,12599
"Hyundai",2016,60319,3.8,0,"Petrol","Rear-wheel Drive",20,27,1,0,0,1,0,0,17990
"Hyundai",2022,15592,3.8,1,"Petrol","Front-wheel Drive",NA,NA,0,1,1,1,1,1,44988
"Volkswagen",2022,8427,1.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,1,29825
"Honda",2022,15045,1.5,1,"Petrol","Four-wheel Drive",27,32,0,1,0,1,0,1,34698
"Mitsubishi",2011,96937,3.8,1,"Petrol","Four-wheel Drive",23,29,0,0,1,1,0,0,9995
"Honda",2019,44744,1.5,1,"Petrol","Front-wheel Drive",32,42,0,0,0,1,0,0,20873
"Kia",2023,5700,2.5,1,"Petrol","Four-wheel Drive",34,39,0,1,1,1,1,1,39374
"Alfa",2019,21605,2,1,"Petrol","Four-wheel Drive",22,28,0,0,0,1,0,1,29267
"Mazda",2022,13892,2.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,0,1,1,35839
"MINI",2012,82230,1.6,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,0,0,0,10490
"Ford",2019,95603,3.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,1,1,43947
"Toyota",2019,76556,2.5,1,"Petrol","Front-wheel Drive",26,35,1,0,0,1,0,0,26428
"Jeep",2018,25659,3.6,1,"Petrol","Four-wheel Drive",21,29,0,1,0,1,0,0,35998
"Maserati",2018,95929,3,1,"Petrol","Four-wheel Drive",12,15,0,0,1,1,0,1,30700
"FIAT",2017,24550,NA,1,"Electric","Front-wheel Drive",NA,-30,0,0,1,1,0,1,12500
"Audi",2017,92469,4,1,"Petrol","Four-wheel Drive",17,-30,1,1,1,1,0,0,28966
"Cadillac",2021,24899,2,1,"Petrol","Four-wheel Drive",NA,NA,1,0,1,1,0,0,32490
"Ford",2019,22983,2.3,1,"Petrol","Rear-wheel Drive",21,31,0,0,0,1,0,1,28990
"Mazda",2020,25710,2.5,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,1,0,0,21000
"Toyota",2017,69759,4.6,1,"Petrol","Rear-wheel Drive",15,19,1,0,0,1,0,0,33994
"Jeep",2021,20414,3.6,1,"Petrol","Four-wheel Drive",22,31,0,1,1,1,0,1,51788
"Volvo",2023,1893,2,1,"Petrol","Four-wheel Drive",17,24,0,1,1,0,0,1,42831
"Alfa",2018,49215,2,1,"Petrol","Four-wheel Drive",23,31,0,0,0,1,0,1,25597
"Mitsubishi",2019,82776,2.4,1,"Petrol","Front-wheel Drive",24,30,0,0,0,1,1,1,16990
"Jaguar",2017,25810,3,1,"Petrol","Four-wheel Drive",17,24,1,0,1,1,0,1,33777
